#汉字	频率	百分比	拼音
之	850821	1.301972326	zhi1
不	845792	2.596249004	bu4/bu2
一	677676	3.633265484	yi1
人	640087	4.612761242	ren2
以	499540	5.377184377	yi3
有	467244	6.092186425	you3
了	460098	6.796253277	le/liao3/liao4
为	445837	7.478497175	wei2/wei4
道	440429	8.15246546	dao4
是	401754	8.767251167	shi4
子	395071	9.371810185	zi3/zi
的	380014	9.953328168	de/di2/di4
来	362142	10.50749745	lai2
大	359993	11.05837821	da4/dai4
也	336196	11.57284352	ye3
十	303876	12.03785102	shi2
其	302708	12.50107118	qi2
上	301620	12.96262642	shang4
二	282297	13.39461256	er4
而	280238	13.82344791	er2
中	279367	14.25095041	zhong1/zhong4
曰	276396	14.67390652	yue1
下	269417	15.08618299	xia4
于	268661	15.49730259	yu2
三	258784	15.89330787	san1
得	258401	16.28872706	de2/de/dei3
在	256621	16.6814224	zai4
年	254552	17.07095164	nian2
我	248990	17.45196961	wo3
他	239649	17.81869347	ta1
王	235998	18.17983038	wang2
说	234675	18.53894276	shui4/shuo1
事	228046	18.88791109	shi4
见	225308	19.23268958	jian4/xian4
将	220345	19.56987342	jiang1/jiang4
者	219357	19.90554537	zhe3
去	217526	20.23841543	qu4
日	207076	20.55529432	ri4
天	205643	20.86998037	tian1
州	198680	21.17401125	zhou1
出	198225	21.47734587	chu1
后	198184	21.78061775	hou4
又	196326	22.08104642	you4
自	194241	22.37828451	zi4
此	190979	22.67053091	ci3
个	190792	22.96249115	ge4
时	190792	23.25445139	shi2
无	190474	23.54592501	wu2
军	188604	23.83453705	1-Jun
太	187704	24.12177187	tai4
这	183670	24.40283364	zhe4/zhei4
与	182185	24.68162298	yu2/yu3/yu4
月	179275	24.95595929	yue4
所	179032	25.22992374	suo3
家	175204	25.49803038	jia1
如	174978	25.76579118	ru2
知	171791	26.02867506	zhi1
你	167875	26.28556647	ni3
里	165783	26.53925659	li3
公	162432	26.78781882	gong1
行	161764	27.03535885	hang2/xing2/xing4
可	159838	27.2799516	ke3
使	158413	27.52236375	shi3
到	157898	27.76398781	dao4
四	157771	28.00541753	si4
至	157762	28.24683348	zhi4
五	153704	28.48203965	wu3
那	148465	28.70922883	na3/na4/nei4
官	147604	28.93510045	guan1
书	143359	29.15447615	shu1
生	143000	29.37330249	sheng1
小	141445	29.58974928	xiao3
言	140703	29.80506062	yan2
何	138611	30.01717068	he2
相	136092	30.22542602	xiang1/xiang4
兵	132686	30.42846931	bing1
今	128656	30.62534568	jin1
都	126540	30.81898404	dou1/du1
南	126357	31.01234236	nan2
山	125910	31.20501665	shan1
就	125515	31.39708649	jiu4
只	122161	31.58402387	qi2/zhi1/zhi3
正	122117	31.77089391	zheng1/zheng4
前	121474	31.95677999	qian2
明	121369	32.1425054	ming2
东	121082	32.32779163	dong1
着	120605	32.51234793	zhao1/zhao2/zhe/zhu4/zhuo2
门	119785	32.69564941	men2
帝	119367	32.87831126	di4
等	118863	33.06020185	deng3
文	118804	33.24200216	wen2
国	118791	33.42378257	guo2
百	118755	33.6055079	bai3
西	117279	33.78497457	xi1
心	116995	33.96400665	xin1
安	115710	34.14107235	an1
然	112576	34.31334224	ran2
要	112468	34.48544686	yao1/yao4
好	111987	34.65681542	hao3/hao4
入	111135	34.82688021	ru4
回	110379	34.99578813	hui2
同	109694	35.16364782	tong2
从	109587	35.33134378	cong1/cong2/zong4
老	107286	35.49551862	lao3
两	107285	35.65969193	liang3
进	106955	35.82336026	jin4
已	106071	35.98567584	yi3
马	105220	36.14668918	ma3
起	102872	36.30410948	qi3
云	102743	36.46133238	yun2
元	102650	36.61841296	yuan2
当	102275	36.7749197	dang1/dang4
及	102141	36.93122138	ji2
未	101893	37.08714356	wei4
臣	101199	37.24200375	chen2
便	100548	37.39586774	bian4/pian2
还	99959	37.54883041	hai2/huan2/huan4
地	99598	37.70124066	de/di4
夫	99414	37.85336934	fu1
城	99221	38.00520268	cheng2
过	98585	38.15606278	guo4
看	97996	38.30602156	kan1/kan4
令	97468	38.45517237	ling4
儿	97208	38.60392531	er2/er
多	97178	38.75263234	duo1
六	96620	38.90048549	liu4
用	96197	39.04769135	yong4
方	96189	39.19488496	fang1
士	95074	39.34037234	shi4
乃	93859	39.48400046	nai3
分	93854	39.62762093	fen1/fen4
长	93460	39.77063848	chang2/zhang3
金	92847	39.91271798	jin1
平	92797	40.05472097	ping2
能	92617	40.19644851	neng2
故	92182	40.3375104	gu4
则	91626	40.47772146	ze2
命	91214	40.61730206	ming4
万	90800	40.75624913	wan4
头	90709	40.89505695	tou2/tou
先	90196	41.03307975	xian1
史	89992	41.17079038	shi3
名	89942	41.30842449	ming2
皆	89848	41.44591476	jie1
主	88601	41.5814968	zhu3
死	88148	41.71638564	si3
司	87942	41.85095925	si1
成	87437	41.98476008	cheng2/cheng4
问	86982	42.11786464	wen4
武	86684	42.25051319	wu3
外	86106	42.38227725	wai4
复	85281	42.51277885	fu4
水	84309	42.64179304	shui3
八	83894	42.77017218	ba1
请	83185	42.89746636	qing3
七	82585	43.0238424	qi1
师	81976	43.14928651	shi1
宗	81905	43.27462197	zong1
高	81718	43.39967128	gao1
千	81229	43.52397229	qian1
诸	80892	43.6477576	zhu1
听	80514	43.77096448	ting1/ting4
内	80430	43.89404282	nei4
若	79297	44.01538738	ruo4
朝	79269	44.13668909	chao2/zhao1
身	79207	44.25789593	shen1
尚	79012	44.37880436	shang4
李	77749	44.49778009	li3
和	77568	44.61647884	he2/he4/huo2/huo4
作	77432	44.73496948	zuo4
北	76841	44.85255573	bei3
定	76215	44.96918405	ding4
县	76108	45.08564863	xian4
张	76082	45.20207342	zhang1
女	76035	45.31842629	nu:3/nv3
因	76016	45.43475009	yin1
阳	75551	45.55036232	yang2
面	75143	45.6653502	mian4
数	75055	45.78020342	shu3/shu4/shuo4
府	74619	45.89438945	fu3
江	73325	46.00659533	jiang1
即	73297	46.11875837	ji2
德	72747	46.23007976	de2
亦	72508	46.34103543	yi4
把	72372	46.45178298	ba3/ba4
河	72338	46.5624785	he2
本	72334	46.6731679	ben3
守	71868	46.7831442	shou3
礼	71446	46.89247474	li3
九	71288	47.00156349	jiu3
世	70622	47.1096331	shi4
君	70511	47.21753284	1-Jun
众	70286	47.32508828	zhong4
白	68711	47.43023357	bai2
开	68292	47.53473769	kai1
闻	68243	47.63916682	wen2
走	67741	47.74282776	zou3
立	66930	47.84524767	li4
并	66863	47.94756505	bing4
意	66766	48.04973399	yi4
部	66699	48.15180041	bu4
亲	66290	48.25324096	qin1/qing4
才	65959	48.35417499	cai2
处	65837	48.45492233	chu3/chu4
皇	65666	48.55540799	huang2
常	65406	48.65549579	chang2
必	65338	48.75547953	bi4
法	65284	48.85538064	fa3
非	64958	48.95478289	fei1
会	64562	49.05357915	hui4/kuai4
欲	63993	49.15150471	yu4
们	63780	49.24910431	men
手	63407	49.34613313	shou3
民	63366	49.44309922	min2
谓	63045	49.53957409	wei4
么	62384	49.63503746	ma/me/yao1
声	62074	49.73002645	sheng1
且	61890	49.82473388	qie3
少	61371	49.9186471	shao3/shao4
遂	61268	50.01240271	sui4/sui2
路	60866	50.10554316	lu4
诏	60838	50.19864075	zhao4
玉	60715	50.29155013	yu4
叫	60700	50.38443656	jiao4
位	60393	50.47685319	wei4
氏	60391	50.56926677	shi4
郎	59604	50.66047603	lang2
左	59435	50.75142669	zuo3
甚	59434	50.84237581	shen4
余	59231	50.93301429	yu2
风	59041	51.02336202	feng1
弟	58786	51.11331954	di4
度	58383	51.20266037	du4
初	58236	51.29177624	chu1
义	57893	51.38036724	yi4
各	57686	51.46864148	ge4
杀	57416	51.55650255	sha1
父	57408	51.64435138	fu4
归	56984	51.73155138	gui1
侍	56790	51.81845451	shi4
花	56770	51.90532703	hua1
口	56595	51.99193177	kou3
神	56125	52.07781728	shen2
发	56051	52.16358955	fa1/fa4
第	55926	52.24917054	di4
光	55919	52.33474082	guang1
取	55638	52.4198811	qu3
坐	55597	52.50495864	zuo4
应	55572	52.58999792	ying1/ying4
遣	55290	52.67460567	qian3
矣	55164	52.7590206	yi3
学	55053	52.84326568	xue2
京	55034	52.92748169	jing1
间	54948	53.01156609	jian1/jian4
卷	54369	53.09476447	juan3/juan4
春	54272	53.17781443	chun1
酒	54196	53.26074808	jiu3
字	54167	53.34363735	zi4
重	54102	53.42642716	chong2/zhong4
没	54057	53.5091481	mei2/mo4
几	53999	53.5917803	ji1/ji3
右	53503	53.67365348	you4
祖	53213	53.75508289	zu3
罢	52994	53.83617718	ba4/ba
既	52989	53.91726381	ji4
经	52775	53.99802297	jing1
往	52771	54.07877601	wang3/wang4
再	52036	54.15840431	zai4
汉	52006	54.23798671	han4
宝	51621	54.31697996	bao3
黄	51543	54.39585384	huang2
边	51441	54.47457165	bian1
通	50748	54.55222898	tong1
笑	50538	54.62956496	xiao4
御	50470	54.70679689	yu4
节	50413	54.78394159	jie2/jie1
宫	50406	54.86107558	gong1
却	49974	54.93754849	que4
对	49838	55.0138133	dui4
兴	49728	55.08990977	xing1/xing4
周	49644	55.16587771	zhou1
母	49550	55.2417018	mu3
真	49445	55.31736521	zhen1
石	49148	55.39257414	dan4/shi2
陈	49139	55.4677693	chen2
话	48908	55.54261097	hua4
打	48815	55.61731032	da2/da3
尽	48761	55.69192704	jin3/jin4
气	48597	55.7662928	qi4
直	48508	55.84052237	zhi2
情	48507	55.9147504	qing2
传	48439	55.98887438	chuan2/zhuan4
海	48381	56.0629096	hai3
齐	48229	56.13671223	qi2
难	48169	56.21042304	nan2/nan4
乐	48127	56.28406958	le4/yue4
己	48094	56.35766562	ji3
拜	47771	56.43076739	bai4
吾	47747	56.50383243	wu2
清	47519	56.57654857	qing1
合	47249	56.64885155	ge3/he2
夜	46797	56.72046285	ye4
做	46627	56.79181401	zuo4
居	46514	56.86299225	ju1
刘	46203	56.93369458	liu2
龙	46178	57.00435865	long2
郡	46126	57.07494315	4-Jun
奏	46039	57.14539452	zou4
钱	46030	57.21583212	qian2
置	45972	57.28618096	zhi4
功	45804	57.35627272	gong1
封	45653	57.42613341	feng1
住	45487	57.49574008	zhu4
原	45342	57.56512486	yuan2
兄	45295	57.63443772	xiong1
想	45273	57.70371691	xiang3
虽	45112	57.77274974	sui1
爷	45104	57.84177032	ye2
举	44950	57.91055524	ju3
实	44906	57.97927283	shi2
岁	44762	58.04777006	sui4
向	44675	58.11613417	xiang4
贼	44659	58.18447378	zei2
卿	44626	58.2527629	qing1
被	44394	58.32069701	bei4
敢	44338	58.38854541	gan3
领	44248	58.4562561	ling3
议	44247	58.52396525	yi4
望	44242	58.59166675	wang4
思	44227	58.6593453	si1
别	43614	58.7260858	bie2/bie4
制	43604	58.792811	zhi4
注	43389	58.8592072	zhu4
许	43301	58.92546873	xu3
送	43294	58.99171955	song4
信	43199	59.057825	xin4
些	42979	59.12359379	xie1
姐	42905	59.18924934	jie3
次	42830	59.25479012	ci4
政	42778	59.32025133	zheng4
受	42477	59.38525194	shou4
求	42469	59.4502403	qiu2
秋	42463	59.51521948	qiu1
加	42308	59.57996147	jia1
古	42040	59.64429335	gu3
衣	41966	59.708512	yi1/yi4
改	41927	59.77267096	gai3
服	41847	59.8367075	fu2
娘	41821	59.90070426	niang2
远	41812	59.96468724	yuan3
侯	41691	60.02848507	hou2
解	41392	60.09182535	jie3/jie4/xie4
林	41240	60.15493303	lin2
流	41200	60.21797949	liu2
给	40955	60.28065105	gei3/ji3
理	40882	60.3432109	li3
孙	40537	60.40524281	sun1
卒	40450	60.46714159	cu4/zu2
忠	40278	60.52877716	zhong1
奉	40104	60.59014647	feng4
首	39950	60.65128012	shou3
留	39940	60.71239847	liu2
房	39861	60.77339593	fang2
战	39595	60.83398634	zhan4
连	39458	60.89436711	lian2
喜	38981	60.95401795	xi3
罪	38836	61.01344689	zui4
称	38300	61.07205563	chen4/cheng1/cheng4
物	38222	61.130545	wu4
新	38102	61.18885074	xin1
善	38031	61.24704783	shan4
刺	38010	61.30521279	ci4
食	37643	61.36281615	shi2/si4
宜	37342	61.4199589	yi2
教	37143	61.47679712	jiao1/jiao4
广	37139	61.53362923	guang3
更	36933	61.59014611	geng1/geng4
章	36902	61.64661554	zhang1
户	36782	61.70290135	hu4
吃	36578	61.75887498	chi1/ji2
或	36446	61.81464663	huo4
观	36274	61.87015506	guan1/guan4
报	36257	61.92563749	bao4
赐	36156	61.98096535	ci4
保	36101	62.03620906	bao3
建	36066	62.0913992	jian4
引	36064	62.14658628	yin3
力	36033	62.20172593	li4
关	36006	62.25682426	guan1
色	35835	62.31166092	se4/shai3
殿	35670	62.36624508	dian4
随	35572	62.42067928	sui2
降	35424	62.474887	jiang4/xiang2
圣	35407	62.52906871	sheng4
任	35399	62.58323817	ren4
宋	35369	62.63736173	song4
治	35314	62.69140112	zhi4
台	35154	62.74519568	tai2
告	35058	62.79884332	gao4
乱	35022	62.85243588	luan4
半	34718	62.90556324	ban4
旧	34616	62.95853452	jiu4
计	34544	63.01139562	ji4
待	34526	63.06422917	dai1/dai4
放	34374	63.11683013	fang4
青	34373	63.16942955	qing1
省	34365	63.22201673	sheng3/xing3
乎	34236	63.27440651	hu1
始	34217	63.32676722	shi3
吏	34198	63.37909885	li4
带	34132	63.43132948	dai4
宣	34084	63.48348666	xuan1
转	34039	63.53557498	zhuan3/zhuan4
病	33972	63.58756077	bing4
姓	33924	63.63947311	xing4
香	33883	63.69132271	xiang1
杨	33594	63.74273007	yang2
失	33416	63.79386504	shi1
妇	33410	63.84499083	fu4
银	33358	63.89603705	yin2
动	33351	63.94707255	dong4
论	33264	63.99797492	lun2/lun4
宁	33245	64.04884822	ning2
卫	33235	64.09970622	wei4
孝	33187	64.15049076	xiao4
但	33160	64.20123398	dan4
由	33125	64.25192365	you2
甲	33117	64.30260108	jia3
差	33104	64.35325861	cha1/cha4/chai1/ci1
镇	33087	64.40389013	zhen4
吴	32992	64.45437627	wu2
魏	32984	64.50485017	wei4
诗	32973	64.55530724	shi1
总	32922	64.60568627	zong3
交	32866	64.6559796	jiao1
寻	32808	64.70618417	xun2
足	32785	64.75635355	zu2
陵	32688	64.8063745	ling2
怎	32665	64.85636025	zen3
骑	32612	64.9062649	qi2
属	32523	64.95603335	shu3/zhu3
管	32396	65.00560746	guan3
迁	32303	65.05503926	qian1
早	32224	65.10435017	zao3
客	32200	65.15362435	ke4
仁	31958	65.20252821	ren2
久	31878	65.25130965	jiu3
监	31842	65.300036	jian1/jian4
深	31753	65.34862616	shen1
贤	31713	65.39715511	xian2
员	31712	65.44568253	yuan2
尔	31663	65.49413496	er3
贵	31652	65.54257057	gui4
星	31609	65.59094037	xing1
莫	31566	65.63924437	mo4
景	31508	65.68745962	jing3
语	31432	65.73555856	yu3/yu4
车	31411	65.78362538	che1/ju1
堂	31402	65.83167841	tang2
赵	31367	65.8796779	zhao4
收	31310	65.92759015	shou1
秦	31257	65.9754213	qin2
代	31201	66.02316676	dai4
唐	31041	66.07066738	tang2
集	30986	66.11808383	ji2
飞	30850	66.16529217	fei1
破	30565	66.21206439	po4
仙	30512	66.2587555	xian1
反	30483	66.30540224	fan3
近	30462	66.35201684	jin4
修	30399	66.39853503	xiu1
异	30391	66.44504099	yi4
梁	30376	66.49152398	liang2
备	30356	66.53797638	bei4
丁	30233	66.58424055	ding1
营	30171	66.63040985	ying2
曾	30171	66.67657914	ceng2/zeng1
志	29811	66.72219755	zhi4
果	29755	66.76773026	guo3
焉	29695	66.81317115	yan1
院	29419	66.8581897	yuan4
空	29325	66.9030644	kong1/kong4
夏	29300	66.94790085	xia4
华	29245	66.99265313	hua2/hua4
火	29182	67.037309	huo3
全	29072	67.08179655	quan2
急	29038	67.12623207	ji2
临	28965	67.17055588	lin2
样	28942	67.21484449	yang4
田	28894	67.25905966	tian2
忽	28794	67.30312179	hu1
参	28719	67.34706916	can1/shen1
永	28548	67.39075485	yong3
岂	28540	67.43442831	qi3
终	28526	67.47808033	zhong1
止	28512	67.52171094	zhi3
每	28494	67.565314	mei3
易	28494	67.60891706	yi4
忙	28460	67.65246809	mang2
恩	28424	67.69596403	en1
率	28382	67.73939571	lu:4/shuai4/lv4
辞	28343	67.7827677	ci2
利	28281	67.82604481	li4
点	28199	67.86919645	dian3
谢	28166	67.91229759	xie4
容	28159	67.95538801	rong2
除	27840	67.99799029	chu2
历	27834	68.04058338	li4
