#汉字	频率	累计频率(%)	拼音
的	8302698	3.20749981	de/di2/di4
一	3728398	4.647855207	yi1
不	3083707	5.839153459	bu4/bu2
是	3017244	7.004775713	shi4
了	2588626	8.004814183	le/liao3/liao4
人	2508086	8.973738425	ren2
在	2265802	9.849063468	zai4
有	2249248	10.71799337	you3
我	1939038	11.46708288	wo3
他	1835410	12.17613881	ta1
这	1735712	12.84667939	zhe4/zhei4
为	1484873	13.4203158	wei2/wei4
之	1459824	13.98427527	zhi1
来	1441611	14.54119869	lai2
大	1414057	15.08747745	da4/dai4
以	1410167	15.63225343	yi3
个	1390372	16.16938219	ge4
中	1383908	16.70401378	zhong1/zhong4
上	1371195	17.23373409	shang4
们	1233633	17.71031141	men
到	1122933	18.1441231	dao4
说	1109652	18.57280406	shui4/shuo1
国	1104141	18.99935601	guo2
和	1088033	19.41968512	he2/he4/huo2/huo4
地	1068947	19.83264092	de/di4
也	1046455	20.23690761	ye3
子	1035711	20.63702367	zi3/zi
时	1024324	21.03274071	shi2
道	975124	21.40945079	dao4
出	953481	21.77779974	chu1
而	929477	22.13687547	er2
要	923479	22.49363404	yao1/yao4
于	899185	22.84100736	yu2
就	896623	23.18739092	jiu4
下	890602	23.53144844	xia4
得	889089	23.87492147	de2/de/dei3
可	882946	24.21602133	ke3
你	873080	24.55330976	ni3
年	856439	24.88416943	nian2
生	825031	25.20289555	sheng1
自	805928	25.51424181	zi4
会	799450	25.82308548	hui4/kuai4
那	787003	26.12712062	na3/na4/nei4
后	768948	26.42418075	hou4
能	757975	26.71700179	neng2
对	753470	27.00808246	dui4
着	746931	27.29663698	zhao1/zhao2/zhe/zhu4/zhuo2
事	727218	27.57757597	shi4
其	705736	27.85021603	qi2
里	703578	28.12202241	li3
所	702060	28.39324236	suo3
去	693796	28.66126976	qu4
行	693612	28.92922607	hang2/xing2/xing4
过	688510	29.19521138	guo4
家	684994	29.45983839	jia1
十	642830	29.70817659	shi2
用	631677	29.95220617	yong4
发	628955	30.19518418	fa1/fa4
天	625527	30.43683788	tian1
如	624014	30.67790709	ru2
然	623602	30.91881712	ran2
作	620223	31.15842179	zuo4
方	588952	31.38594583	fang1
成	586444	31.61250098	cheng2/cheng4
者	580331	31.83669456	zhe3
多	578867	32.06032257	duo1
日	570839	32.28084919	ri4
都	566108	32.49954814	dou1/du1
三	563056	32.71706804	san1
小	552432	32.93048367	xiao3
军	551130	33.14339631	1-Jun
二	549803	33.35579631	er4
无	549739	33.56817158	wu2
同	547305	33.77960655	tong2
么	540353	33.98835582	ma/me/yao1
经	534113	34.19469445	jing1
法	532100	34.40025542	fa3
当	531549	34.60560352	dang1/dang4
起	527805	34.80950525	qi3
与	527717	35.01337298	yu2/yu3/yu4
好	523853	35.21574796	hao3/hao4
看	522612	35.41764353	kan1/kan4
学	519314	35.61826501	xue2
进	519121	35.81881192	jin4
种	518324	36.01905095	zhong3/zhong4
将	515931	36.21836551	jiang1/jiang4
还	515814	36.41763486	hai2/huan2/huan4
分	513236	36.61590829	fen1/fen4
此	509513	36.81274345	ci3
心	509223	37.00946657	xin1
前	502905	37.20374892	qian2
面	500323	37.39703379	mian4
又	499259	37.58990762	you4
定	498753	37.78258597	ding4
见	494388	37.97357803	jian4/xian4
只	492220	38.16373255	qi2/zhi1/zhi3
主	488294	38.35237038	zhu3
没	482203	38.53865513	mei2/mo4
公	481058	38.72449755	gong1
从	479545	38.90975546	cong1/cong2/zong4
知	478175	39.09448411	zhi1
使	474686	39.27786489	shi3
部	469765	39.4593446	bu4
本	460452	39.6372265	ben3
动	460190	39.81500718	dong4
现	448443	39.98824976	xian4
因	447628	40.16117749	yin1
开	445304	40.33320742	kai1
些	443507	40.50454312	xie1
理	438969	40.67412571	li3
长	435608	40.84240987	chang2/zhang3
明	431242	41.00900736	ming2
样	427091	41.17400123	yang4
意	426998	41.33895918	yi4
已	424214	41.50284161	yi3
月	419841	41.66503466	yue4
正	418927	41.82687461	zheng1/zheng4
想	414092	41.98684671	xiang3
实	413400	42.14655147	shi2
把	413102	42.30614111	ba3/ba4
但	407619	42.46361256	dan4
相	405217	42.62015607	xiang1/xiang4
两	401885	42.77541235	liang3
民	399162	42.92961669	min2
她	396728	43.08288072	ta1
力	395169	43.23554248	li4
文	393026	43.38737636	wen2
等	385159	43.53617105	deng3
外	381751	43.68364917	wai4
第	381706	43.8311099	di4
王	379946	43.97789071	wang2
高	375260	44.12286122	gao1
问	375219	44.2678159	wen4
太	368194	44.41005667	tai4
头	365620	44.55130305	tou2/tou
情	361407	44.69092187	qing2
西	360898	44.83034405	xi1
机	354595	44.96733126	ji1
它	352358	45.10345427	ta1
回	349622	45.2385203	hui2
并	348479	45.37314477	bing4
间	347175	45.50726548	jian1/jian4
手	343849	45.64010129	shou3
四	342645	45.77247197	si4
关	338479	45.90323324	guan1
重	336945	46.03340189	chong2/zhong4
应	335956	46.16318848	ying1/ying4
工	335844	46.29293179	gong1
性	335119	46.42239502	xing4
全	334320	46.55154959	quan2
门	332554	46.68002191	men2
老	330336	46.80763737	lao3
点	328999	46.93473633	dian3
身	328932	47.0618094	shen1
东	327320	47.18825972	dong1
由	325324	47.31393895	you2
何	322946	47.43869951	he2
向	321661	47.56296364	xiang4
至	321344	47.68710531	zhi4
物	319368	47.81048362	wu4
战	318371	47.93347676	zhan4
业	317670	48.05619909	ye4
被	313299	48.17723282	bei4
政	312656	48.29801814	zheng4
内	311761	48.41845771	nei4
五	308020	48.53745205	wu3
儿	305035	48.65529323	er2/er
及	304812	48.77304826	ji2
入	303568	48.8903227	ru4
先	300824	49.00653709	xian1
己	298988	49.12204218	ji3
安	298920	49.23752101	an1
或	297232	49.35234773	huo4
利	297094	49.46712114	li4
很	295989	49.58146767	hen3
最	295871	49.69576861	zui4
书	294716	49.80962335	shu1
制	294358	49.92333978	zhi4
美	294066	50.03694341	mei3
山	294052	50.15054164	shan1
体	292879	50.2636867	ti3
什	292046	50.37650997	shen2/shi2
新	292023	50.48932435	xin1
话	288975	50.60096122	hua4
名	288423	50.71238485	ming2
曰	287471	50.8234407	yue1
合	286526	50.93413147	ge3/he2
加	285956	51.04460205	jia1
世	285612	51.15493973	shi4
平	284064	51.26467938	ping2
水	283242	51.37410149	shui3
常	277715	51.4813884	chang2
果	276586	51.58823915	guo3
位	275376	51.69462246	wei4
信	273447	51.80026055	xin4
度	272759	51.90563286	du4
产	272529	52.01091631	chan3
立	271915	52.11596256	li4
声	268157	52.21955703	sheng1
南	265435	52.32209992	nan2
代	262935	52.42367702	dai4
走	261360	52.52464566	zou3
女	261223	52.62556138	nu:3/nv3
言	261011	52.7263952	yan2
马	260992	52.82722167	ma3
金	260759	52.92795814	jin1
处	260074	53.02842997	chu3/chu4
便	260027	53.12888365	bian4/pian2
通	259794	53.22924732	tong1
命	259572	53.32952522	ming4
特	258777	53.429496	te2/te4
给	258770	53.52946407	gei3/ji3
数	258367	53.62927646	shu3/shu4/shuo4
次	257687	53.72882615	ci4
海	257683	53.82837429	hai3
今	255280	53.92699411	jin1
表	253700	54.02500354	biao3
原	252921	54.12271203	yuan2
