#汉字	频率	累计频率(%)	拼音
的	3244537	3.718683969	de/di2/di4
一	1646186	5.605438686	yi1
了	1380375	7.187537575	le/liao3/liao4
是	1327443	8.70896914	shi4
不	1285160	10.18193859	bu4/bu2
我	1087588	11.42846346	wo3
他	992169	12.56562508	ta1
在	893208	13.58936384	zai4
人	886010	14.6048527	ren2
有	805014	15.52750905	you3
这	788581	16.43133093	zhe4/zhei4
来	653533	17.18036929	lai2
个	605892	17.87480454	ge4
说	577395	18.53657833	shui4/shuo1
上	571537	19.19163804	shang4
你	539232	19.8096718	ni3
们	535514	20.42344422	men
到	524614	21.02472375	dao4
地	488181	21.58424606	de/di4
大	481685	22.13632307	da4/dai4
着	468988	22.67384758	zhao1/zhao2/zhe/zhu4/zhuo2
子	439668	23.17776735	zi3/zi
那	429478	23.67000799	na3/na4/nei4
就	417364	24.14836432	jiu4
也	407287	24.61517103	ye3
时	381728	25.05268362	shi2
道	369507	25.47618927	dao4
中	368320	25.89833446	zhong1/zhong4
出	364399	26.31598564	chu1
得	363610	26.73273253	de2/de/dei3
为	362196	27.14785877	wei2/wei4
里	360490	27.5610297	li3
下	359999	27.97363789	xia4
她	342946	28.36670099	ta1
要	339256	28.75553485	yao1/yao4
么	338078	29.14301856	ma/me/yao1
去	337256	29.52956015	qu4
可	320065	29.8963985	ke3
以	318797	30.26178354	yi3
过	312760	30.62024936	guo4
和	301653	30.96598503	he2/he4/huo2/huo4
看	291838	31.30047136	kan1/kan4
之	290083	31.63294623	zhi1
然	289529	31.96478613	ran2
后	287078	32.29381686	hou4
会	279503	32.61416559	hui4/kuai4
自	276107	32.93062205	zi4
没	271894	33.24224982	mei2/mo4
小	271685	33.55363806	xiao3
好	266513	33.85909848	hao3/hao4
生	264009	34.16168896	sheng1
天	260519	34.46027944	tian1
而	254475	34.75194265	er2
起	252144	35.04093423	qi3
对	250220	35.32772063	dui4
能	249990	35.61424343	neng2
还	244116	35.89403381	hai2/huan2/huan4
事	239440	36.16846486	shi4
想	235458	36.43833199	xiang3
都	235356	36.70808221	dou1/du1
心	234213	36.9765224	xin1
只	218288	37.22671036	qi2/zhi1/zhi3
家	215924	37.47418885	jia1
面	208920	37.7136398	mian4
样	207247	37.95117326	yang4
把	206269	38.18758579	ba3/ba4
国	205724	38.42337369	guo2
多	204725	38.65801659	duo1
又	202995	38.89067667	you4
于	199824	39.11970236	yu2
头	199131	39.34793377	tou2/tou
年	198208	39.57510729	nian2
手	191014	39.79403551	shou3
发	185452	40.00658891	fa1/fa4
如	183873	40.21733256	ru2
什	182926	40.42699083	shen2/shi2
开	181454	40.63496197	kai1
前	181054	40.84247466	qian2
当	179007	41.04764121	dang1/dang4
所	176877	41.25036649	suo3
无	176808	41.45301269	wu2
知	176476	41.65527836	zhi1
老	171854	41.85224659	lao3
但	169648	42.04668645	dan4
见	169620	42.24109421	jian4/xian4
长	167902	42.43353291	chang2/zhang3
已	167561	42.62558077	yi3
军	167523	42.81758508	1-Jun
从	166578	43.0085063	cong1/cong2/zong4
方	166568	43.19941605	fang1
声	165172	43.38872579	sheng1
儿	165112	43.57796677	er2/er
回	164360	43.76634585	hui2
意	161465	43.95140686	yi4
作	160044	44.13483922	zuo4
话	159827	44.31802286	hua4
两	159628	44.50097842	liang3
点	159459	44.68374028	dian3
现	157198	44.86391073	xian4
很	156960	45.04380839	hen3
成	156414	45.22308027	cheng2/cheng4
身	155128	45.40087821	shen1
情	154723	45.57821197	qing2
十	152741	45.75327409	shi2
用	152033	45.92752474	yong4
些	151115	46.10072323	xie1
走	150703	46.27344952	zou3
经	146583	46.44145372	jing1
同	146088	46.60889059	tong2
进	145056	46.77514464	jin4
动	143724	46.93987204	dong4
己	143046	47.10382235	ji3
三	141780	47.26632166	san1
行	140708	47.42759231	hang2/xing2/xing4
种	136761	47.58433915	zhong3/zhong4
向	136181	47.74042124	xiang4
日	136153	47.89647123	ri4
明	133658	48.04966161	ming2
女	133560	48.20273967	nu:3/nv3
正	132092	48.3541352	zheng1/zheng4
问	130594	48.50381382	wen4
此	127146	48.64954056	ci3
学	127075	48.79518592	xue2
太	126016	48.93961752	tai4
打	124708	49.08254998	da2/da3
间	123971	49.22463773	jian1/jian4
分	122144	49.36463149	fen1/fen4
因	121722	49.50414158	yin1
给	121522	49.64342245	gei3/ji3
本	121288	49.78243511	ben3
眼	119989	49.91995895	yan3
定	119540	50.05696817	ding4
二	118805	50.19313498	er4
气	117699	50.32803416	qi4
力	117291	50.46246571	li4
被	116917	50.59646862	bei4
门	116743	50.73027209	men2
真	116541	50.86384405	zhen1
法	116426	50.99728419	fa3
外	115151	51.12926302	wai4
听	115078	51.26115817	ting1/ting4
实	114801	51.39273585	shi2
其	114708	51.52420694	qi2
高	114338	51.65525395	gao1
先	113677	51.78554337	xian1
几	113152	51.91523106	ji1/ji3
笑	111752	52.04331417	xiao4
再	110526	52.16999211	zai4
主	109936	52.29599383	zhu3
将	109619	52.42163222	jiang1/jiang4
山	108203	52.54564769	shan1
战	108052	52.66949008	zhan4
才	106400	52.79143906	cai2
口	106165	52.9131187	kou3
文	106025	53.03463788	wen2
最	103847	53.15366077	zui4
部	103715	53.27253237	bu4
第	103345	53.3909799	di4
它	102465	53.50841883	ta1
西	101625	53.624895	xi1
与	101186	53.74086802	yu2/yu3/yu4
全	100584	53.85615107	quan2
白	100361	53.97117853	bai2
者	99308	54.0849991	zhe3
便	97630	54.19689646	bian4/pian2
相	97210	54.30831244	xiang1/xiang4
住	96972	54.41945564	zhu4
公	95247	54.52862175	gong1
使	94704	54.63716551	shi3
东	94140	54.74506285	dong1
等	93894	54.85267824	deng3
边	93331	54.95964836	bian1
信	93126	55.06638351	xin4
像	92427	55.17231752	xiang4
斯	92377	55.27819422	si1
机	92248	55.38392307	ji1
光	92035	55.48940779	guang1
次	91803	55.5946266	ci4
感	91550	55.69955545	gan3
神	91097	55.80396509	shen2
却	90928	55.90818104	que4
死	90675	56.01210701	si3
理	89426	56.11460146	li3
名	89125	56.21675092	ming2
重	89105	56.31887746	chong2/zhong4
四	88911	56.42078165	si4
做	88511	56.52222738	zuo4
别	87890	56.62296137	bie2/bie4
叫	87625	56.72339162	jiao4
王	86821	56.82290039	wang2
并	86617	56.92217534	bing4
水	86236	57.02101361	shui3
月	86138	57.11973956	yue4
果	85669	57.21792797	guo3
何	85586	57.31602125	he2
位	84886	57.41331224	wei4
怎	84772	57.51047257	zen3
马	84592	57.60742659	ma3
常	84202	57.70393362	chang2
觉	82996	57.79905841	jiao4/jue2
海	82568	57.89369265	hai3
张	82495	57.98824322	zhang1
少	82409	58.08269523	shao3/shao4
处	81702	58.17633692	chu3/chu4
亲	81699	58.26997517	qin1/qing4
安	81293	58.36314808	an1
特	80894	58.45586369	te2/te4
美	80250	58.54784119	mei3
呢	79741	58.6392353	ne/ni2
色	79289	58.73011136	se4/shai3
原	78980	58.82063326	yuan2
直	78665	58.91079413	zhi2
望	78173	59.0003911	wang4
