#汉字	频率	累计频率(%)	拼音
的	4678147	4.402778934	de/di2/di4
一	1404536	5.724640242	yi1
是	1288047	6.9368694	shi4
在	1115973	7.987153287	zai4
人	981989	8.911339825	ren2
有	976990	9.830821618	you3
不	952755	10.72749495	bu4/bu2
国	779626	11.46123011	guo2
这	763461	12.17975178	zhe4/zhei4
了	748153	12.88386652	le/liao3/liao4
中	736221	13.57675161	zhong1/zhong4
和	708812	14.24384107	he2/he4/huo2/huo4
为	676840	14.88084048	wei2/wei4
们	634339	15.47784061	men
他	603592	16.0459036	ta1
我	602460	16.61290121	wo3
个	593688	17.17164317	ge4
以	591830	17.7286365	yi3
大	572379	18.26732376	da4/dai4
上	498038	18.73604593	shang4
地	481168	19.18889112	de/di4
要	471755	19.63287737	yao1/yao4
会	455385	20.06145721	hui4/kuai4
对	453412	20.48818019	dui4
时	451804	20.91338981	shi2
到	440421	21.32788647	dao4
于	430700	21.73323433	yu2
来	425936	22.13409862	lai2
生	418022	22.52751474	sheng1
能	415368	22.91843308	neng2
年	403679	23.29835047	nian2
可	403043	23.6776693	ke3
而	394764	24.04919645	er2
行	391140	24.41731292	hang2/xing2/xing4
出	390857	24.78516304	chu1
发	387452	25.1498086	fa1/fa4
用	383447	25.5106849	yong4
作	382747	25.8709024	zuo4
种	366583	26.21590736	zhong3/zhong4
就	353744	26.54882905	jiu4
法	350390	26.87859417	fa3
所	346151	27.20436981	suo3
成	342593	27.52679689	cheng2/cheng4
学	337186	27.84413523	xue2
自	335580	28.15996211	zi4
经	334755	28.47501254	jing1
方	326195	28.78200685	fang1
之	318920	29.08215437	zhi1
理	308661	29.37264677	li3
定	302998	29.65780951	ding4
也	302972	29.94294778	ye3
部	299351	30.22467819	bu4
说	297582	30.50474373	shui4/shuo1
分	297238	30.78448552	fen1/fen4
家	293866	31.06105379	jia1
同	291523	31.33541698	tong2
主	289757	31.60811812	zhu3
其	288320	31.87946684	qi2
后	283686	32.14645434	hou4
动	283115	32.41290444	dong4
过	277165	32.67375478	guo4
多	276964	32.93441595	duo1
现	276762	33.19488701	xian4
进	267110	33.44627421	jin4
得	267078	33.69763129	de2/de/dei3
本	266830	33.94875498	ben3
如	265163	34.19830978	ru2
业	265140	34.44784294	ye4
民	261785	34.69421859	min2
者	261666	34.94048224	zhe3
下	261186	35.18629414	xia4
事	259732	35.43073763	shi4
实	253693	35.66949759	shi2
工	250669	35.90541155	gong1
当	250267	36.14094718	dang1/dang4
性	250128	36.37635199	xing4
因	249890	36.6115328	yin1
些	249413	36.84626469	xie1
机	247575	37.07926678	ji1
与	244346	37.30922993	yu2/yu3/yu4
它	243708	37.53859263	ta1
力	241845	37.766202	li4
产	235360	37.98770809	chan3
日	227610	38.20192036	ri4
关	226635	38.41521503	guan1
政	226086	38.62799301	zheng4
公	223379	38.83822333	gong1
第	222435	39.04756522	di4
使	221569	39.25609209	shi3
然	221497	39.46455119	ran2
物	218285	39.66998736	wu4
面	216260	39.87351773	mian4
由	214577	40.07546416	you2
体	214220	40.2770746	ti3
制	211396	40.47602728	zhi4
那	209060	40.67278146	na3/na4/nei4
或	207360	40.8679357	huo4
但	204811	41.06069098	dan4
全	204664	41.25330792	quan2
都	204212	41.44549946	dou1/du1
应	203813	41.63731549	ying1/ying4
从	203380	41.82872401	cong1/cong2/zong4
子	200972	42.01786627	zi3/zi
前	200377	42.20644855	qian2
意	198767	42.3935156	yi4
利	195868	42.57785429	li4
开	195558	42.76190123	kai1
军	195003	42.94542584	1-Jun
并	194999	43.12894669	bing4
重	193738	43.31128076	chong2/zhong4
合	191676	43.4916742	ge3/he2
此	191388	43.6717966	ci3
样	190902	43.85146161	yang4
美	189202	44.02952668	mei3
十	186213	44.20477869	shi2
将	185967	44.37979918	jiang1/jiang4
加	183253	44.55226543	jia1
无	182457	44.72398253	wu2
外	180494	44.89385218	wai4
化	180202	45.06344701	hua4
新	180175	45.23301644	xin1
最	179842	45.40227246	zui4
高	179204	45.57092804	gao1
里	177305	45.7377964	li3
明	176215	45.90363892	ming2
长	174246	46.06762834	chang2/zhang3
起	172789	46.23024653	qi3
等	172402	46.39250049	deng3
相	171915	46.55429612	xiang1/xiang4
还	171739	46.71592611	hai2/huan2/huan4
代	170816	46.87668743	dai4
战	170724	47.03736217	zhan4
度	168870	47.19629203	du4
间	168256	47.35464404	jian1/jian4
文	168197	47.51294052	wen2
你	165973	47.66914391	ni3
道	165188	47.82460851	dao4
正	164718	47.97963078	zheng1/zheng4
内	163259	48.13327992	nei4
表	163055	48.28673707	biao3
三	162492	48.43966437	san1
果	161162	48.59133995	guo3
天	159365	48.7413243	tian1
特	158197	48.89020941	te2/te4
情	158177	49.03907569	qing2
心	158015	49.18778951	xin1
问	157643	49.33615323	wen4
着	157338	49.4842299	zhao1/zhao2/zhe/zhu4/zhuo2
没	156252	49.6312845	mei2/mo4
及	156070	49.77816781	ji2
月	154428	49.92350577	yue4
系	153243	50.06772848	xi4
资	152104	50.21087924	zi1
被	151988	50.35392082	bei4
只	151771	50.49675818	qi2/zhi1/zhi3
提	151607	50.63944119	di1/ti2
论	150960	50.78151529	lun2/lun4
已	150582	50.92323364	yi3
通	149041	51.06350169	tong1
二	148701	51.20344976	er4
斯	148523	51.3432303	si1
义	148025	51.48254216	yi4
务	147094	51.62097782	wu4
任	146813	51.75914902	ren4
建	146554	51.89707647	jian4
题	145819	52.03431217	ti2
员	145709	52.17144436	yuan2
教	145493	52.30837326	jiao1/jiao4
好	145353	52.4451704	hao3/hao4
各	144164	52.58084852	ge4
世	142152	52.71463308	shi4
西	141994	52.84826894	xi1
点	141341	52.98129024	dian3
量	141018	53.11400755	liang2/liang4
数	140831	53.24654886	shu3/shu4/shuo4
向	140805	53.37906571	xiang4
市	140776	53.51155526	shi4
么	139891	53.64321191	ma/me/yao1
小	139302	53.77431423	xiao3
去	139014	53.90514549	qu4
统	138343	54.03534526	tong3
条	137385	54.16464342	tiao2
计	137272	54.29383523	ji4
信	137122	54.42288586	xin4
解	136624	54.55146781	jie3/jie4/xie4
两	134972	54.67849501	liang3
期	134607	54.80517868	qi1
区	134534	54.93179366	ou1/qu1
把	134461	55.05833993	ba3/ba4
立	133685	55.18415588	li4
想	133361	55.3096669	xiang3
展	133019	55.43485605	zhan3
看	132778	55.55981839	kan1/kan4
基	131696	55.68376241	ji1
认	131661	55.8076735	ren4
社	131240	55.93118837	she4
科	130246	56.05376774	ke1
位	130097	56.17620689	wei4
知	129908	56.29846816	zhi1
原	128599	56.41949749	yuan2
比	128416	56.54035458	bi3/bi4
入	128285	56.66108839	ru4
常	128107	56.78165467	chang2
很	127292	56.90145393	hen3
结	126784	57.02077509	jie1/jie2
海	126734	57.14004919	hai3
管	126428	57.25903531	guan3
变	126053	57.3776685	bian4
治	125905	57.49616239	zhi4
报	125442	57.61422055	bao4
次	123054	57.73003127	ci4
权	122975	57.84576763	quan2
反	122557	57.9611106	fan3
保	122159	58.076079	bao3
电	121598	58.19051942	dian4
目	121549	58.30491373	mu4
设	120985	58.41877723	she4
规	119075	58.53084317	gui1
受	118736	58.64259005	shou4
件	118643	58.75424941	jian4
活	118028	58.86532997	huo2
更	117077	58.97551551	geng1/geng4
平	116982	59.08561164	ping2
必	116978	59.19570401	bi4
形	115428	59.30433761	xing2
场	115114	59.4126757	chang3
程	114069	59.5200303	cheng2
式	113834	59.62716373	shi4
尔	113284	59.73377953	er3
总	112965	59.84009512	zong3
品	112761	59.94621871	pin3
水	112697	60.05228206	shui3
处	112535	60.15819296	chu3/chu4
据	112127	60.26371987	ju1/ju4
东	112098	60.36921948	dong1
界	111784	60.47442358	jie4
司	111632	60.57948463	si1
决	110791	60.68375418	jue2
名	109356	60.78667319	ming2
类	108794	60.88906329	lei4
济	107885	60.9905979	ji4
己	107848	61.09209768	ji3
则	107492	61.19326242	ze2
术	105654	61.29269734	shu4/zhu2
达	104915	61.39143677	da2
德	104905	61.49016679	de2
导	102430	61.58656749	dao3
安	101917	61.68248538	an1
接	101771	61.77826587	jie1
强	101453	61.87374708	qiang2
指	101422	61.96919912	zhi3
少	100609	62.063886	shao3/shao4
组	100189	62.15817762	zu3
克	100127	62.25241088	ke4
金	99948	62.34647567	jin1
又	99938	62.44053106	you4
见	99460	62.53413658	jian4/xian4
何	98749	62.62707296	he2
别	98744	62.72000462	bie2/bie4
共	98435	62.81264548	gong4
求	98402	62.90525528	qiu2
至	97985	62.99747262	zhi4
取	97551	63.08928151	qu3
先	96951	63.18052572	xian1
观	96454	63.27130219	guan1/guan4
