#汉字	频率	累计频率(%)	拼音
的	7922684	4.094325318	de/di2/di4
一	3050722	5.670893097	yi1
是	2615490	7.022539449	shi4
不	2237915	8.179060654	bu4/bu2
了	2128528	9.279052283	le/liao3/liao4
在	2009181	10.31736716	zai4
人	1867999	11.28272127	ren2
有	1782004	12.20363445	you3
我	1690048	13.07702613	wo3
他	1595761	13.9016917	ta1
这	1552042	14.70376393	zhe4/zhei4
个	1199580	15.32368904	ge4
们	1169853	15.92825168	men
中	1104541	16.49906205	zhong1/zhong4
来	1079469	17.05691558	lai2
上	1069575	17.60965604	shang4
大	1054064	18.15438065	da4/dai4
为	1039036	18.69133901	wei2/wei4
和	1010465	19.2135323	he2/he4/huo2/huo4
国	985350	19.72274653	guo2
地	969349	20.22369169	de/di4
到	965035	20.72240743	dao4
以	910627	21.19300593	yi3
说	874977	21.64518103	shui4/shuo1
时	833532	22.07593798	shi2
要	811011	22.49505641	yao1/yao4
就	771108	22.89355356	jiu4
出	755256	23.28385863	chu1
会	734888	23.66363783	hui4/kuai4
可	723108	24.03732929	ke3
也	710259	24.40438059	ye3
你	705205	24.76882005	ni3
对	703632	25.1324466	dui4
生	682031	25.48491009	sheng1
能	665358	25.82875721	neng2
而	649239	26.16427427	er2
子	640640	26.4953475	zi3/zi
那	638538	26.82533445	na3/na4/nei4
得	630688	27.15126463	de2/de/dei3
于	630524	27.47711006	yu2
着	626326	27.80078603	zhao1/zhao2/zhe/zhu4/zhuo2
下	621185	28.1218052	xia4
自	611687	28.43791595	zi4
之	609003	28.75263965	zhi1
年	601887	29.0636859	nian2
过	589925	29.36855037	guo4
发	572904	29.66461864	fa1/fa4
后	570764	29.95958099	hou4
作	542791	30.24008731	zuo4
里	537795	30.51801178	li3
用	535480	30.79473988	yong4
道	534695	31.07106231	dao4
行	531848	31.34591345	hang2/xing2/xing4
所	523028	31.61620654	suo3
然	511026	31.88029718	ran2
家	509790	32.14374908	jia1
种	503344	32.40386977	zhong3/zhong4
事	499172	32.66183444	shi4
成	499007	32.91971384	cheng2/cheng4
方	492763	33.17436644	fang1
多	481689	33.42329615	duo1
经	481338	33.67204447	jing1
么	477969	33.91905175	ma/me/yao1
去	476270	34.165181	qu4
法	466816	34.40642457	fa3
学	464261	34.64634776	xue2
如	449036	34.87840289	ru2
都	439568	35.10556509	dou1/du1
同	437611	35.33171595	tong2
现	433960	35.55598003	xian4
当	429274	35.77782245	dang1/dang4
没	428146	35.99908194	mei2/mo4
动	426839	36.21966599	dong4
面	425180	36.4393927	mian4
起	424933	36.65899175	qi3
看	424616	36.87842699	kan1/kan4
定	422538	37.09678835	ding4
天	419884	37.31377816	tian1
分	419382	37.53050854	fen1/fen4
还	415855	37.74541622	hai2/huan2/huan4
进	412166	37.95841748	jin4
好	411866	38.17126371	hao3/hao4
小	410987	38.38365568	xiao3
部	403066	38.5919542	bu4
其	403028	38.80023308	qi2
些	400528	39.00721999	xie1
主	399693	39.2137754	zhu3
样	398149	39.41953288	yang4
理	398087	39.62525832	li3
心	392228	39.82795592	xin1
她	388612	40.02878483	ta1
本	388118	40.22935844	ben3
前	381431	40.42647631	qian2
开	377012	40.62131051	kai1
