#序号	汉字	基于本语料库现代汉语子库的(包括信息和文学两大类文本)单字频率 (补漏 啰 在首行)
0	啰	-
1	一	3050722
2	乙	8313
3	二	267506
4	十	338954
5	丁	23479
6	厂	33468
7	七	76766
8	卜	7301
9	人	1867999
10	入	192433
11	八	92700
12	九	94580
13	几	192355
14	儿	207827
15	了	2128528
16	力	359136
17	乃	23520
18	刀	27292
19	又	302933
20	三	304272
21	于	630524
22	干	120564
23	亏	9884
24	士	115704
25	工	317532
26	土	79809
27	才	181725
28	寸	8056
29	下	621185
30	大	1054064
31	丈	20372
32	与	345532
33	万	134220
34	上	1069575
35	小	410987
36	口	191936
37	巾	4967
38	山	168142
39	千	67843
40	乞	4073
41	川	25575
42	亿	27897
43	个	1199580
44	勺	1357
45	久	62588
46	凡	30533
47	及	202671
48	夕	7025
49	丸	3847
50	么	477969
51	广	87900
52	亡	33917
53	门	212769
54	义	193507
55	之	609003
56	尸	13609
57	弓	5315
58	己	250894
59	已	318143
60	子	640640
61	卫	58408
62	也	710259
63	女	185188
64	飞	122290
65	刃	2858
66	习	57329
67	叉	5299
68	马	155772
69	乡	36025
70	丰	22439
71	王	143948
72	井	15158
73	开	377012
74	夫	114784
75	天	419884
76	无	359265
77	元	116488
78	专	84361
79	云	54510
80	扎	15600
81	艺	45218
82	木	54433
83	五	154316
84	支	96814
85	厅	20989
86	不	2237915
87	太	180490
88	犬	3042
89	区	164775
90	历	85487
91	尤	25908
92	友	68196
93	匹	8025
94	车	118824
95	巨	36351
96	牙	31466
97	屯	2268
98	比	200645
99	互	42579
100	切	126391
101	瓦	22229
102	止	68082
103	少	183018
104	日	363763
105	中	1104541
106	冈	6651
107	贝	24675
108	内	231331
109	水	198933
110	见	269080
111	午	30985
112	牛	30047
113	手	280442
114	毛	64522
115	气	190687
116	升	41105
117	长	342148
118	仁	17263
119	什	267869
120	片	90559
121	仆	8976
122	化	224729
123	仇	13118
124	币	22592
125	仍	67490
126	仅	82729
127	斤	8365
128	爪	4419
129	反	181385
130	介	41749
131	父	68576
132	从	369958
133	今	126624
134	凶	16707
135	分	419382
136	乏	16010
137	公	318626
138	仓	8275
139	月	240566
140	氏	13868
141	勿	3400
142	欠	7682
143	风	121803
144	丹	19171
145	匀	2890
146	乌	20291
147	凤	13817
148	勾	6780
149	文	274222
150	六	85830
151	方	492763
152	火	97760
153	为	1039036
154	斗	69456
155	忆	17829
156	订	22991
157	计	171949
158	户	43810
159	认	191866
160	心	392228
161	尺	14422
162	引	85740
163	丑	8067
164	巴	74917
165	孔	18890
166	队	162938
167	办	116904
168	以	910627
169	允	15027
170	予	35757
171	劝	12587
172	双	69440
173	书	151357
174	幻	15371
175	玉	31279
176	刊	20458
177	示	98963
178	末	23526
179	未	110491
180	击	107513
181	打	186146
182	巧	20964
183	正	296810
184	扑	13748
185	扒	1623
186	功	92052
187	扔	8045
188	去	476270
189	甘	15654
190	世	214990
191	古	80454
192	节	80074
193	本	388118
194	术	131634
195	可	723108
196	丙	3055
197	左	45568
198	厉	17726
199	右	45561
200	石	102149
201	布	113652
202	龙	54169
203	平	191267
204	灭	34135
205	轧	1367
206	东	206238
207	卡	52244
208	北	136939
209	占	49980
210	业	296169
211	旧	36291
212	帅	8249
213	归	35153
214	且	144597
215	旦	18569
216	目	180827
217	叶	36032
218	甲	25620
219	申	25531
220	叮	3188
221	电	183834
222	号	84335
223	田	45886
224	由	292199
225	史	90469
226	只	370059
227	央	44052
228	兄	26386
229	叼	797
230	叫	110131
231	另	83702
232	叨	2344
233	叹	18587
234	四	184874
235	生	682031
236	失	115346
237	禾	936
238	丘	7886
239	付	42527
240	仗	10263
241	代	231734
242	仙	20051
243	们	1169853
244	仪	19064
245	白	148728
246	仔	12428
247	他	1595761
248	斥	8464
249	瓜	8740
250	乎	90127
251	丛	10665
252	令	114570
253	用	535480
254	甩	3208
255	印	62179
256	乐	64965
257	句	52891
258	匆	11540
259	册	13462
260	犯	47098
261	外	295645
262	处	194237
263	冬	16368
264	鸟	19698
265	务	176085
266	包	91240
267	饥	5689
268	主	399693
269	市	169522
270	立	204985
271	闪	25427
272	兰	61951
273	半	80183
274	汁	3564
275	汇	22608
276	头	274911
277	汉	52656
278	宁	30001
279	穴	7772
280	它	346173
281	讨	41717
282	写	93710
283	让	125660
284	礼	35612
285	训	29911
286	必	174963
287	议	116810
288	讯	20488
289	记	139501
290	永	40936
291	司	155229
292	尼	60474
293	民	335796
294	出	755256
295	辽	6300
296	奶	19219
297	奴	15917
298	加	243648
299	召	21098
300	皮	49803
301	边	136277
302	发	572904
303	孕	6256
304	圣	33620
305	对	703632
306	台	109362
307	矛	15059
308	纠	10064
309	母	71462
310	幼	12257
311	丝	29585
312	式	142292
313	刑	26453
314	动	426839
315	扛	1921
316	寺	8200
317	吉	40081
318	扣	11505
319	考	82688
320	托	44052
321	老	223050
322	执	47543
323	巩	4344
324	圾	3102
325	扩	28331
326	扫	15140
327	地	969349
328	扬	26509
329	场	173632
330	耳	37939
331	共	128824
332	芒	5174
333	亚	100251
334	芝	5832
335	朽	3526
336	朴	6261
337	机	339823
338	权	144506
339	过	589925
340	臣	24553
341	再	179607
342	协	50123
343	西	243619
344	压	48038
345	厌	11376
346	在	2009181
347	有	1782004
348	百	103938
349	存	110970
350	而	649239
351	页	24861
352	匠	6142
353	夸	7594
354	夺	22148
355	灰	18298
356	达	147907
357	列	82418
358	死	136194
359	成	499007
360	夹	9574
361	轨	8273
362	邪	12952
363	划	78648
364	迈	10432
365	毕	26148
366	至	163582
367	此	318534
368	贞	4414
369	师	128086
370	尘	10137
371	尖	18036
372	劣	8067
373	光	147639
374	当	429274
375	早	89623
376	吐	11132
377	吓	14620
378	虫	18909
379	曲	27401
380	团	104151
381	同	437611
382	吊	6637
383	吃	85976
384	因	371612
385	吸	35891
386	吗	91639
387	屿	3098
388	帆	3874
389	岁	46835
390	回	239243
391	岂	10036
392	刚	64622
393	则	149042
394	肉	30820
395	网	67118
396	年	601887
397	朱	25195
398	先	210628
399	丢	11285
400	舌	7511
401	竹	12000
402	迁	11433
403	乔	14107
404	伟	25591
405	传	128186
406	乒	1086
407	乓	1032
408	休	26539
409	伍	14425
410	伏	16181
411	优	46613
412	伐	9028
413	延	25768
414	件	172895
415	任	212485
416	伤	59632
417	价	103634
418	份	45408
419	华	103158
420	仰	16940
421	仿	19870
422	伙	28724
423	伪	12654
424	自	611687
425	血	59944
426	向	276986
427	似	98057
428	后	570764
429	行	531848
430	舟	5363
431	全	305248
432	会	734888
433	杀	68776
434	合	239277
435	兆	5204
436	企	93453
437	众	80390
438	爷	30930
439	伞	5511
440	创	63156
441	肌	7830
442	朵	12435
443	杂	40265
444	危	42080
445	旬	4671
446	旨	10590
447	负	54616
448	各	193435
449	名	198481
450	多	481689
451	争	124420
452	色	142231
453	壮	15151
454	冲	53378
455	冰	27201
456	庄	29679
457	庆	19487
458	亦	37960
459	刘	48600
460	齐	27480
461	交	135727
462	次	214857
463	衣	51134
464	产	265164
465	决	157959
466	充	54812
467	妄	6228
468	闭	19515
469	问	288237
470	闯	5954
471	羊	17763
472	并	281616
473	关	302473
474	米	69668
475	灯	25401
476	州	51533
477	汗	14011
478	污	15696
479	江	69602
480	池	10289
481	汤	11620
482	忙	42026
483	兴	76760
484	宇	23891
485	守	44264
486	宅	8464
487	字	108218
488	安	183210
489	讲	73220
490	军	362526
491	许	166034
492	论	197165
493	农	88412
494	讽	4713
495	设	142742
496	访	29134
497	寻	33469
498	那	638538
499	迅	26321
500	尽	84270
501	导	124463
502	异	52735
503	孙	31506
504	阵	44899
505	阳	60867
506	收	120897
507	阶	49058
508	阴	31936
509	防	74459
510	奸	7132
511	如	449036
512	妇	35188
513	好	411866
514	她	388612
515	妈	48622
516	戏	29402
517	羽	8366
518	观	127796
519	欢	55294
520	买	47788
521	红	81852
522	纤	6166
523	级	102018
524	约	99148
525	纪	69045
526	驰	6199
527	巡	12852
528	寿	11646
529	弄	28205
530	麦	23271
531	形	162049
532	进	412166
533	戒	12510
534	吞	9142
535	远	110455
536	违	22751
537	运	123903
538	扶	11659
539	抚	10100
540	坛	9049
541	技	99790
542	坏	41723
543	扰	14252
544	拒	17892
545	找	88247
546	批	70580
547	扯	6325
548	址	8541
549	走	193619
550	抄	5433
551	坝	2552
552	贡	12785
553	攻	68747
554	赤	10981
555	折	24737
556	抓	31675
557	扮	7372
558	抢	15596
559	孝	6112
560	均	36842
561	抛	10477
562	投	79708
563	坟	4402
564	抗	47342
565	坑	5223
566	坊	3546
567	抖	9584
568	护	76993
569	壳	7813
570	志	75904
571	扭	9054
572	块	44475
573	声	206083
574	把	340730
575	报	182411
576	却	148679
577	劫	8752
578	芽	2717
579	花	103367
580	芹	765
581	芬	8218
582	苍	10027
583	芳	12015
584	严	75278
585	芦	3806
586	劳	56119
587	克	166044
588	苏	68487
589	杆	6944
590	杠	1732
591	杜	19246
592	材	34237
593	村	52603
594	杏	2538
595	极	117736
596	李	86593
597	杨	27561
598	求	138216
599	更	187378
600	束	31370
601	豆	9179
602	两	294600
603	丽	41363
604	医	84620
605	辰	4755
606	励	14512
607	否	64772
608	还	415855
609	歼	8910
610	来	1079469
611	连	106814
612	步	121267
613	坚	48749
614	旱	3636
615	盯	8041
616	呈	12567
617	时	833532
618	吴	24632
619	助	66867
620	县	38407
621	里	537795
622	呆	17746
623	园	31925
624	旷	2731
625	围	69641
626	呀	35343
627	吨	10403
628	足	77385
629	邮	11137
630	男	67405
631	困	39172
632	吵	6709
633	串	8695
634	员	200217
635	听	148988
636	吩	4866
637	吹	16180
638	呜	3341
639	吧	87536
640	吼	5814
641	别	186634
642	岗	9163
643	帐	11798
644	财	56037
645	针	25384
646	钉	5059
647	告	138285
648	我	1690048
649	乱	47474
650	利	268813
651	秃	3640
652	秀	24620
653	私	29700
654	每	119594
655	兵	106982
656	估	17943
657	体	273792
658	何	184335
659	但	374459
660	伸	23732
661	作	542791
662	伯	42513
663	伶	2148
664	佣	3517
665	低	68424
666	你	705205
667	住	138503
668	位	214983
669	伴	18678
670	身	249725
671	皂	1691
672	佛	47038
673	近	115441
674	彻	20461
675	役	20254
676	返	15179
677	余	50601
678	希	80460
679	坐	66293
680	谷	26005
681	妥	8634
682	含	34759
683	邻	10996
684	岔	1599
685	肝	9551
686	肚	9102
687	肠	7939
688	龟	4265
689	免	48044
690	狂	24259
691	犹	20747
692	角	50081
693	删	2577
694	条	191280
695	卵	6971
696	岛	44056
697	迎	27228
698	饭	35076
699	饮	12453
700	系	190769
701	言	120308
702	冻	5984
703	状	64495
704	亩	4439
705	况	100680
706	床	27283
707	库	25924
708	疗	34467
709	应	280384
710	冷	53460
711	这	1552042
712	序	41129
713	辛	14713
714	弃	25730
715	冶	2525
716	忘	27961
717	闲	13316
718	间	292227
719	闷	8708
720	判	52045
721	灶	2891
722	灿	3254
723	弟	42706
724	汪	8294
725	沙	40573
726	汽	22098
727	沃	9047
728	泛	17928
729	沟	11735
730	没	428146
731	沈	10628
732	沉	48772
733	怀	47561
734	忧	14753
735	快	116923
736	完	143120
737	宋	31748
738	宏	9134
739	牢	10454
740	究	98377
741	穷	17672
742	灾	17531
743	良	41167
744	证	115610
745	启	18041
746	评	42966
747	补	34542
748	初	58587
749	社	159527
750	识	125220
751	诉	68147
752	诊	15931
753	词	33669
754	译	22170
755	君	31960
756	灵	50134
757	即	146459
758	层	53705
759	尿	8292
760	尾	19076
761	迟	16808
762	局	84587
763	改	121023
764	张	136087
765	忌	7938
766	际	99412
767	陆	57430
768	阿	87159
769	陈	77914
770	阻	23151
771	附	35955
772	妙	20165
773	妖	8337
774	妨	8311
775	努	26564
776	忍	24862
777	劲	17307
778	鸡	16164
779	驱	13692
780	纯	24890
781	纱	4069
782	纳	55597
783	纲	7832
784	驳	6879
785	纵	20599
786	纷	22820
787	纸	30001
788	纹	9463
789	纺	4175
790	驴	3532
791	纽	9466
792	奉	16453
793	玩	27043
794	环	55971
795	武	81863
796	青	82619
797	责	76377
798	现	433960
799	表	226768
800	规	134528
801	抹	6299
802	拢	4390
803	拔	13865
804	拣	1981
805	担	51792
806	坦	30341
807	押	9401
808	抽	22937
809	拐	5282
810	拖	13973
811	拍	23483
812	者	360974
813	顶	31318
814	拆	6412
815	拥	27833
816	抵	25228
817	拘	6224
818	势	80705
819	抱	25069
820	垃	3127
821	拉	134051
822	拦	7091
823	拌	950
824	幸	37198
825	招	34625
826	坡	12758
827	披	6790
828	拨	9047
829	择	33615
830	抬	16315
831	其	403028
832	取	134102
833	苦	63194
834	若	60736
835	茂	4798
836	苹	3805
837	苗	7946
838	英	116193
839	范	53033
840	直	169439
841	茄	1596
842	茎	2956
843	茅	4637
844	林	117675
845	枝	13982
846	杯	16068
847	柜	7101
848	析	27019
849	板	35332
850	松	37563
851	枪	38569
852	构	80364
853	杰	24796
854	述	57744
855	枕	3206
856	丧	15731
857	或	260786
858	画	38263
859	卧	7696
860	事	499172
861	刺	27891
862	枣	2319
863	雨	35370
864	卖	32694
865	矿	16360
866	码	17626
867	厕	2118
868	奔	18989
869	奇	71919
870	奋	19499
871	态	77219
872	欧	42504
873	垄	4642
874	妻	26847
875	轰	19670
876	顷	2753
877	转	115087
878	斩	3844
879	轮	25958
880	软	28885
881	到	965035
882	非	149915
883	叔	15310
884	肯	39813
885	齿	9415
886	些	400528
887	虎	26514
888	虏	3811
889	肾	4437
890	贤	7713
891	尚	38376
892	旺	5529
893	具	108811
894	果	246831
895	味	40704
896	昆	9557
897	国	985350
898	昌	11787
899	畅	6012
900	明	309873
901	易	89730
902	昂	7637
903	典	28860
904	固	37582
905	忠	18021
906	咐	6257
907	呼	40709
908	鸣	10636
909	咏	1067
910	呢	112185
911	岸	32807
912	岩	15279
913	帖	2191
914	罗	108376
915	帜	2452
916	岭	5429
917	凯	14990
918	败	39627
919	贩	3837
920	购	26803
921	图	85957
922	钓	4813
923	制	250754
924	知	306384
925	垂	11949
926	牧	12193
927	物	281146
928	乖	3828
929	刮	4565
930	秆	502
931	和	1010465
932	季	19211
933	委	90263
934	佳	12061
935	侍	8320
936	供	74168
937	使	316273
938	例	74579
939	版	42853
940	侄	2987
941	侦	14329
942	侧	20960
943	凭	15619
944	侨	4633
945	佩	13784
946	货	42602
947	依	70632
948	的	7922684
949	迫	30930
950	质	104560
951	欣	13500
952	征	49855
953	往	116539
954	爬	15255
955	彼	20021
956	径	18428
957	所	523028
958	舍	17647
959	金	167912
960	命	168358
961	斧	2598
962	爸	28526
963	采	68946
964	受	180928
965	乳	8701
966	贪	8304
967	念	85953
968	贫	17263
969	肤	9214
970	肺	6692
971	肢	4651
972	肿	9202
973	胀	6327
974	朋	38271
975	股	61861
976	肥	11594
977	服	116961
978	胁	13948
979	周	83366
980	昏	12600
981	鱼	40452
982	兔	4418
983	狐	4718
984	忽	36378
985	狗	19093
986	备	107114
987	饰	11794
988	饱	7059
989	饲	7399
990	变	185121
991	京	71245
992	享	20830
993	店	28926
994	夜	58839
995	庙	8220
996	府	100771
997	底	75728
998	剂	12821
999	郊	4565
1000	废	16754
1001	净	16751
1002	盲	6395
1003	放	147600
1004	刻	65015
1005	育	66551
1006	闸	1352
1007	闹	17764
1008	郑	24716
1009	券	14293
1010	卷	30343
1011	单	109359
1012	炒	3260
1013	炊	1262
1014	炕	1949
1015	炎	17971
1016	炉	7295
1017	沫	3731
1018	浅	10088
1019	法	466816
1020	泄	6955
1021	河	69687
1022	沾	4201
1023	泪	19411
1024	油	34469
1025	泊	6695
1026	沿	22781
1027	泡	7046
1028	注	82869
1029	泻	2816
1030	泳	3198
1031	泥	13874
1032	沸	2860
1033	波	58859
1034	泼	4688
1035	泽	34311
1036	治	156904
1037	怖	9400
1038	性	309844
1039	怕	63520
1040	怜	11848
1041	怪	46600
1042	学	464261
1043	宝	42836
1044	宗	50799
1045	定	422538
1046	宜	18833
1047	审	48862
1048	宙	15331
1049	官	97897
1050	空	158539
1051	帘	3875
1052	实	368494
1053	试	61912
1054	郎	14845
1055	诗	36762
1056	肩	15528
1057	房	80320
1058	诚	23947
1059	衬	3700
1060	衫	5802
1061	视	96326
1062	话	240067
1063	诞	7085
1064	询	11643
1065	该	136053
1066	详	15099
1067	建	178289
1068	肃	13581
1069	录	36080
1070	隶	9100
1071	居	56307
1072	届	13521
1073	刷	8773
1074	屈	10591
1075	弦	5117
1076	承	62285
1077	孟	12274
1078	孤	17817
1079	陕	5769
1080	降	49306
1081	限	66018
1082	妹	22723
1083	姑	31647
1084	姐	41762
1085	姓	24142
1086	始	112987
1087	驾	12492
1088	参	80663
1089	艰	11164
1090	线	98261
1091	练	30963
1092	组	119734
1093	细	67915
1094	驶	13537
1095	织	69482
1096	终	72533
1097	驻	18901
1098	驼	3084
1099	绍	20681
1100	经	481338
1101	贯	14361
1102	奏	12859
1103	春	36027
1104	帮	47065
1105	珍	18144
1106	玻	9447
1107	毒	34517
1108	型	73216
1109	挂	20706
1110	封	38954
1111	持	119990
1112	项	70453
1113	垮	2958
1114	挎	574
1115	城	102833
1116	挠	2523
1117	政	269878
1118	赴	8594
1119	赵	23428
1120	挡	7851
1121	挺	14615
1122	括	40519
1123	拴	1537
1124	拾	7497
1125	挑	18417
1126	指	166865
1127	垫	3233
1128	挣	8297
1129	挤	10920
1130	拼	8842
1131	挖	8449
1132	按	69984
1133	挥	49702
1134	挪	5500
1135	某	79482
1136	甚	64438
1137	革	78685
1138	荐	4406
1139	巷	4221
1140	带	124619
1141	草	44612
1142	茧	904
1143	茶	19404
1144	荒	17924
1145	茫	7659
1146	荡	15268
1147	荣	31662
1148	故	70067
1149	胡	43199
1150	南	139078
1151	药	59090
1152	标	86324
1153	枯	5582
1154	柄	5229
1155	栋	2830
1156	相	269125
1157	查	90039
1158	柏	11902
1159	柳	12642
1160	柱	10504
1161	柿	1221
1162	栏	6182
1163	树	54037
1164	要	811011
1165	咸	3627
1166	威	64559
1167	歪	5251
1168	研	93761
1169	砖	4512
1170	厘	5096
1171	厚	20624
1172	砌	1442
1173	砍	5418
1174	面	425180
1175	耐	15629
1176	耍	5109
1177	牵	10641
1178	残	24030
1179	殃	964
1180	轻	89852
1181	鸦	4236
1182	皆	15357
1183	背	45181
1184	战	278776
1185	点	300800
1186	临	41068
1187	览	8259
1188	竖	3698
1189	省	58642
1190	削	9169
1191	尝	11557
1192	是	2615490
1193	盼	5689
1194	眨	4393
1195	哄	3660
1196	显	87825
1197	哑	4406
1198	冒	20917
1199	映	18102
1200	星	76320
1201	昨	14406
1202	畏	6722
1203	趴	1942
1204	胃	7533
1205	贵	38668
1206	界	148438
1207	虹	5670
1208	虾	2338
1209	蚁	3653
1210	思	144503
1211	蚂	2206
1212	虽	81097
1213	品	138528
1214	咽	6818
1215	骂	14976
1216	哗	3759
1217	咱	19554
1218	响	81702
1219	哈	52475
1220	咬	11029
1221	咳	4390
1222	哪	60708
1223	炭	4405
1224	峡	10028
1225	罚	21011
1226	贱	3270
1227	贴	14888
1228	骨	29180
1229	钞	3049
1230	钟	36770
1231	钢	11738
1232	钥	3772
1233	钩	5140
1234	卸	3795
1235	缸	2437
1236	拜	20978
1237	看	424616
1238	矩	5766
1239	怎	112294
1240	牲	12107
1241	选	82498
1242	适	58927
1243	秒	6829
1244	香	46525
1245	种	503344
1246	秋	24030
1247	科	155750
1248	重	282843
1249	复	98822
1250	竿	2083
1251	段	71172
1252	便	159479
1253	俩	12340
