a:ā,á,ǎ,à
o:ō,ó,ǒ,ò
e:ē,é,ě,è
i:ī,í,ǐ,ì
u:ū,ú,ǔ,ù
ü:ǖ,ǘ,ǚ,ǜ
ai:āi,ái,ǎi,ài
ei:ēi,éi,ěi,èi
ui:uī,uí,uǐ,uì
ao:āo,áo,ǎo,ào
ou:ōu,óu,ǒu,òu
iu:iū,iú,iǔ,iù
ie:iē,ié,iě,iè
üe:üē,üé,üě,üè
er:ēr,ér,ěr,èr
an:ān,án,ǎn,àn
en:ēn,én,ěn,èn
in:īn,ín,ǐn,ìn
un:ūn,ún,ǔn,ùn
ün:ǖn,ǘn,ǚn,ǜn
ang:āng,áng,ǎng,àng
eng:ēng,éng,ěng,èng
ing:īng,íng,ǐng,ìng
ong:ōng,óng,ǒng,òng
ba:bā,bá,bǎ,bà
bo:bō,bó,bǒ,bò
bi:bī,bí,bǐ,bì
bu:bū,bú,bǔ,bù
bai:bāi,bái,bǎi,bài
bei:bēi,béi,běi,bèi
bao:bāo,báo,bǎo,bào
bie:biē,bié,biě,biè
ban:bān,bán,bǎn,bàn
ben:bēn,bén,běn,bèn
bin:bīn,bín,bǐn,bìn
bang:bāng,báng,bǎng,bàng
beng:bēng,béng,běng,bèng
bing:bīng,bíng,bǐng,bìng
bian:biān,bián,biǎn,biàn
biao:biāo,biáo,biǎo,biào
pa:pā,pá,pǎ,pà
po:pō,pó,pǒ,pò
pi:pī,pí,pǐ,pì
pu:pū,pú,pǔ,pù
pai:pāi,pái,pǎi,pài
pei:pēi,péi,pěi,pèi
pao:pāo,páo,pǎo,pào
pou:pōu,póu,pǒu,pòu
pie:piē,pié,piě,piè
pan:pān,pán,pǎn,pàn
pen:pēn,pén,pěn,pèn
pin:pīn,pín,pǐn,pìn
pang:pāng,páng,pǎng,pàng
peng:pēng,péng,pěng,pèng
ping:pīng,píng,pǐng,pìng
pian:piān,pián,piǎn,piàn
piao:piāo,piáo,piǎo,piào
ma:mā,má,mǎ,mà
mo:mō,mó,mǒ,mò
me:mē,mé,mě,mè
mi:mī,mí,mǐ,mì
mu:mū,mú,mǔ,mù
mai:māi,mái,mǎi,mài
mei:mēi,méi,měi,mèi
mao:māo,máo,mǎo,mào
mou:mōu,móu,mǒu,mòu
miu:miū,miú,miǔ,miù
mie:miē,mié,miě,miè
man:mān,mán,mǎn,màn
men:mēn,mén,měn,mèn
min:mīn,mín,mǐn,mìn
mang:māng,máng,mǎng,màng
meng:mēng,méng,měng,mèng
ming:mīng,míng,mǐng,mìng
mian:miān,mián,miǎn,miàn
miao:miāo,miáo,miǎo,miào
fa:fā,fá,fǎ,fà
fo:fō,fó,fǒ,fò
fu:fū,fú,fǔ,fù
fei:fēi,féi,fěi,fèi
fou:fōu,fóu,fǒu,fòu
fan:fān,fán,fǎn,fàn
fen:fēn,fén,fěn,fèn
fang:fāng,fáng,fǎng,fàng
feng:fēng,féng,fěng,fèng
da:dā,dá,dǎ,dà
de:dē,dé,dě,dè
di:dī,dí,dǐ,dì
du:dū,dú,dǔ,dù
dai:dāi,dái,dǎi,dài
dei:dēi,déi,děi,dèi
dui:duī,duí,duǐ,duì
dao:dāo,dáo,dǎo,dào
dou:dōu,dóu,dǒu,dòu
diu:diū,diú,diǔ,diù
die:diē,dié,diě,diè
dan:dān,dán,dǎn,dàn
den:dēn,dén,děn,dèn
dun:dūn,dún,dǔn,dùn
dang:dāng,dáng,dǎng,dàng
deng:dēng,déng,děng,dèng
ding:dīng,díng,dǐng,dìng
dong:dōng,dóng,dǒng,dòng
dia:diā,diá,diǎ,dià
dian:diān,dián,diǎn,diàn
diao:diāo,diáo,diǎo,diào
duan:duān,duán,duǎn,duàn
duo:duō,duó,duǒ,duò
ta:tā,tá,tǎ,tà
te:tē,té,tě,tè
ti:tī,tí,tǐ,tì
tu:tū,tú,tǔ,tù
tai:tāi,tái,tǎi,tài
tui:tuī,tuí,tuǐ,tuì
tao:tāo,táo,tǎo,tào
tou:tōu,tóu,tǒu,tòu
tie:tiē,tié,tiě,tiè
tan:tān,tán,tǎn,tàn
tun:tūn,tún,tǔn,tùn
tang:tāng,táng,tǎng,tàng
teng:tēng,téng,těng,tèng
ting:tīng,tíng,tǐng,tìng
tong:tōng,tóng,tǒng,tòng
tian:tiān,tián,tiǎn,tiàn
tiao:tiāo,tiáo,tiǎo,tiào
tuan:tuān,tuán,tuǎn,tuàn
tuo:tuō,tuó,tuǒ,tuò
na:nā,ná,nǎ,nà
ne:nē,né,ně,nè
ni:nī,ní,nǐ,nì
nu:nū,nú,nǔ,nù
nü:nǖ,nǘ,nǚ,nǜ
nai:nāi,nái,nǎi,nài
nei:nēi,néi,něi,nèi
nao:nāo,náo,nǎo,nào
nou:nōu,nóu,nǒu,nòu
niu:niū,niú,niǔ,niù
nie:niē,nié,niě,niè
nüe:nüē,nüé,nüě,nüè
nan:nān,nán,nǎn,nàn
nen:nēn,nén,něn,nèn
nin:nīn,nín,nǐn,nìn
nang:nāng,náng,nǎng,nàng
neng:nēng,néng,něng,nèng
ning:nīng,níng,nǐng,nìng
nong:nōng,nóng,nǒng,nòng
nian:niān,nián,niǎn,niàn
niang:niāng,niáng,niǎng,niàng
niao:niāo,niáo,niǎo,niào
nuan:nuān,nuán,nuǎn,nuàn
nuo:nuō,nuó,nuǒ,nuò
la:lā,lá,lǎ,là
lo:lō,ló,lǒ,lò
le:lē,lé,lě,lè
li:lī,lí,lǐ,lì
lu:lū,lú,lǔ,lù
